"Carimbo de data/hora","Idade","Instituição de ensino","Curso","Semestre/Período","Turno","Linguagem de programação com experiência","Área de atuação desejada","Artista/Banda favorita","Filme/Anime/Série favorita","Comida favorita (Hamburger, pizza, japonesa, alemã)","Hobby","Cidade natal","Faz atividade física? (crossfit, academia, artes marciais)","Altura"
"2026/09/17 11:33:33 AM GMT-3","23","UNIFIL","Ciência da Computação","7","Noturno","JavaScript","Desenvolvedor ","Naldo Benny","Attack on titan","Hamburger","Valorant","Londrina","Sim","1,75"
"2026/09/17 11:33:57 AM GMT-3","24","Puc","Ads","5","Noturno","Javascript","A.I","Don L","Frieren","Japonesa","Edição","Arapongas","Não","168"
"2026/09/17 11:34:01 AM GMT-3","20","Unifil","Engenharia de Software","Segundo semestre ","Noturno","PHP","Gestão da T.I","Zendaya","Supernatural","Macarrão com carne moída","Ler, desenhar, assitir série","Londrina ","Não","1.66"
"2026/09/17 11:34:01 AM GMT-3","30","Unifil","Ciência da Computação ","4° semestre","Noturno","Java","Engenharia ou Ciência de Dados","Bring me the Horizon","Steins;Gate","Pizza","Escalada esportiva","Londrina","Sim","1,74"
"2026/09/17 11:34:03 AM GMT-3","21","Universidade Positivo","Engenharia de software","7","Noturno","Python","IA","Slipknot, Korn, System, Drowingpool, Jorge Matheus","Dexter, Modern Family, The office","Torta de frango","Jogar jogos(games)(ser gamer, ser um jogador)","Londrina PR","Não","1,80"
"2026/09/17 11:34:04 AM GMT-3","21","UTFPR-CP","Engenharia de Software","6","Noturno","Java","IA","DJ Ramon Sucesso","Hunter x hunter","Japonesa","Jogos","Assis - SP","Sim","180"
"2026/09/17 11:34:55 AM GMT-3","19","UEL","Ciência de dados e IA","4","Noturno","Python ","Data scientist ","Joji","Ilha do medo","Strogonoff ","Fifa","Londrina ","Sim","1,85"
"2026/09/17 11:34:56 AM GMT-3","19","UEL","Ciência de Dados e IA","Segundo semestre","Noturno","Python","Engenheiro de software","Harry Style","Sword art Online","Fricasse de Frango","Jogar","Araraquara","Sim","1.77"
"2026/09/17 11:34:57 AM GMT-3","21","UNIFIL","Ciência da computação ","6º semestre ","Noturno","Java, Python ","IA, Ciência de dados, backend ","Michael Jackson ","Dragon ball ","Hambúrguer ","Jogar ","Londrina ","Sim","1,8 M "
"2026/09/17 11:35:01 AM GMT-3","21","UTFPR-CP","Engenharia de Software","8°","Noturno","Node","A que da dinheiro","nenhum","attack on titan","Pastel","jogar e ler","Conceição da Barra - ES","Não","1,75m"
"2026/09/17 11:35:34 AM GMT-3","25","Unicesumar","Ads","4","Noturno","C","Dev","Frank sinatra ","One piece para todos ","Japonesa ","Jogar","Londrina","Não","181"
"2026/09/17 11:35:44 AM GMT-3","22","UTFPR","Sistemas de Informação ","2","Noturno","Python","Product Owner","Jotape","One piece","Churrasco","Ler","Rondonópolis ","Sim","1.86"
"2026/09/17 11:35:57 AM GMT-3","19","Centro Universitário Filadélfia - UniFil","Engenharia de Software","Semestre 6/Bimestre 3","Noturno","Java, Python, JavaScript, GDScript, SQL","Full-Stack/Web Development/Software Developer","Stray Kids e aespa","Star Wars III: A Vingança dos Sith/One Piece","Comida japonesa em geral","Desenhar, escrever, jogar, assistir filmes/séries/animes, ler","Sabae, Fukui, Japão","Sim","1,78"
"2026/09/17 11:36:10 AM GMT-3","23","UTFPR","Sistemas de Informação ","3","Noturno","Python","Data Science","Skillet","The Ancient Magus Bride","Lasanha","RPG de Mesa","Londrina","Não","165"
"2026/09/17 11:36:13 AM GMT-3","23","PUC","ADS","6","Vespertino","Python","IA e análise de dados","Nenhum","Breaking Bad","Pizza","Cuidar de plantas","Londrina","Sim","1,69"
"2026/09/17 11:36:26 AM GMT-3","22","UEL","Ciência de Dados & IA","2","Noturno","Python","Dados ","Team Impala","Ilha do Medo ","Hamburguer","Vôlei","Londrina","Sim","1.69m"
"2026/09/17 11:36:35 AM GMT-3","20","UTFPR","Sistemas de informaçao ","4","Noturno","Python ","Ciência de dados","Hungria ","Brooklyn99","Japonesa ","Assistir ","Cambé ","Não","162"
"2026/09/17 11:36:43 AM GMT-3","21","Unicesumar","ADS","4","Noturno","Python","IA","The neighbourhood ","Batman","Pizza","Dormir","Londrina","Sim","1.85"
"2026/09/17 11:36:46 AM GMT-3","24","Unifil","Engenharia de Software","4°","Noturno","Java","Game Dev","Bring me the Horizon","Star Wars: A vingança dos Sith","Pizza","Vocalista","Cornélio Procópio","Não","1,75"
"2026/09/17 11:36:56 AM GMT-3","20","Unifil","Ciência da Computação","6 Semestre","Noturno","Java","IA/ Cyber Security",".",".",".","Futebol","Maringá","Sim","1.75 m"
"2026/09/17 11:36:59 AM GMT-3","19","UTFPR","S.i","4","Noturno","Python ","IA, machine learning ","Skank","300","Hamburger ","Ler","Ourinhos","Sim","1.80"
"2026/09/17 11:37:13 AM GMT-3","20","UTFPR","Sistemas de Informação","4o período","Noturno","Python","IA","System of a Down","A volta dos que não foram","Lanche podrão","Jogar","Rio de Janeiro","Não","1,74"
"2026/09/17 11:37:47 AM GMT-3","20","Universidade positivo ","Engenharia de software ","6°","Noturno","Javascript, python e dart","Machine learning, automação de processos e desenvolvimento ","DJ wagner","Breaking bad, demon slayer","Strogonoff ","Soltar pipa ","Londrina ","Sim","178cm"
"2026/09/17 11:37:54 AM GMT-3","21","Unisenai ","Engenharia de software ","4°","Noturno","Java ¯⁠\⁠_⁠(⁠ツ⁠)⁠_⁠/⁠¯","Inteligência artificial ","$uicedeBoy$","Breaking Bad","japonesa ","Jogos eletrônicos e tiro com arco ","São Paulo ","Sim","1,73"
"2026/09/17 11:37:59 AM GMT-3","21","UniFil","Engenharia de software ","5","Noturno","Java","Engenheiro de IA generativa ","2Zdinizz","Carros ","Japonesa ","Sair com os amigos, pra fazer qualquer coisa(beber quase sempre)","Londrina","Sim","1,73"
"2026/09/17 11:38:11 AM GMT-3","23","Unifil ","Engenharia de Software","5° Período ","Noturno","Java, Python","Inteligência Artificial ","Blink 182","The Office  ","Churrasco ","Bateria, Motos e VideoJogos ","Londrina ","Sim","1,78m"
"2026/09/17 11:38:41 AM GMT-3","21","UniSenai","Engenharia de Software","Sexto","Noturno","Java","Front-end","Creed","Hunter x Hunter","Hamburguer","Jogar","Londrina ","Não","1.61"
"2026/09/17 11:38:42 AM GMT-3","21","Unifil ","Engenharia de Software ","6°","Noturno","Java","Agile","Salvatore Ganacci","Seinfeld","Churrasco","Cartinha(TCG)","Bela Vista do Paraíso ","Sim","1,8"
"2026/09/17 11:39:03 AM GMT-3","20","UniFil","Engenharia de software","4","Noturno","Java","Back-end","Slipknot","Bleach","Pizza","Jogar","Londrina","Sim","1,86"
